IDPERSON,SEXO,INDINOM,ANONAC,ANOMUE,EDAD,EDADREC,IDNIVEDU,CONDALFA,ESTACIV,RELIGION,IDIOMA,OCUPACI0,ORGANIZA,OCUPACIO,SITUACIO,AGENTE,AGENTERC,UBIGEONA,DEPNAC,DEPNA0,UBIGEO,DEPHEC,DEPHE0,PROVHEC,DISTHEC,AREA,REGION,PERIODO,TESTIMON,CEDAP,CVR,COMISEDH,CNDDHH,CICR,DEFPUEB,DP_ONG
0000061444,2,2,#NULL!,1988,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,,,#NULL!,0510060000,05,1,0510,051006,0,1,3,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061449,2,2,#NULL!,1987,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,0511030004,05,1,0511030004,05,1,0511,051103,0,1,3,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061457,2,1,#NULL!,1985,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,4,,,#NULL!,0903120015,09,3,0903,090312,0,1,2,1,0,1,0,0,0,0,0
0000061467,2,1,1971,1984,13,2,3,2,1,1,2,#NULL!,#NULL!,#NULL!,2,7,4,0701000000,07,10,0505060005,05,1,0505,050506,0,1,2,1,0,1,0,0,0,0,0
0000061474,2,1,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,4,,,#NULL!,0903110023,09,3,0903,090311,0,1,2,1,0,1,0,0,0,0,0
0000061478,2,1,#NULL!,1993,#NULL!,#NULL!,#NULL!,#NULL!,2,#NULL!,#NULL!,8,#NULL!,8,1,3,2,,,#NULL!,,,#NULL!,,,#NULL!,#NULL!,5,1,0,1,0,0,0,0,0
0000061479,2,1,#NULL!,1986,#NULL!,#NULL!,3,2,2,1,2,1,#NULL!,1,1,1,1,0511070004,05,1,0511070004,05,1,0511,051107,0,1,3,1,0,1,0,0,0,0,0
0000061483,2,1,1920,1984,64,7,3,2,2,1,2,1,#NULL!,1,2,1,1,0511050001,05,1,0511050000,05,1,0511,051105,0,1,2,1,0,1,0,0,0,0,0
0000061488,2,1,1946,1984,38,4,1,1,2,1,2,1,#NULL!,1,2,3,2,0505080000,05,1,0505010000,05,1,0505,050501,0,1,2,1,0,1,0,0,0,0,0
0000061491,2,1,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0511050000,05,1,0511,051105,0,1,2,1,0,1,0,0,0,0,0
0000061494,1,2,#NULL!,1988,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,4,,,#NULL!,0501100000,05,1,0501,050110,1,1,3,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061496,2,1,#NULL!,1993,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,#NULL!,10,1,3,2,,,#NULL!,,,#NULL!,,,#NULL!,#NULL!,5,1,0,1,0,0,0,0,0
0000061498,2,1,1952,1989,37,4,3,2,2,1,2,1,#NULL!,1,1,2,1,0505010033,05,1,0505010000,05,1,0505,050501,0,1,4,1,0,1,0,0,0,0,0
0000061513,1,1,#NULL!,1993,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,1206040048,12,9,1206,120604,0,3,5,1,0,1,0,0,0,0,0
0000061527,1,1,1929,1984,55,6,1,1,1,1,2,4,#NULL!,4,2,3,2,0506040001,05,1,0506040001,05,1,0506,050604,0,1,2,1,0,1,0,0,0,0,0
0000061541,2,1,#NULL!,1993,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,1206040048,12,9,1206,120604,0,3,5,1,0,1,0,0,0,0,0
0000061543,2,2,#NULL!,1993,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,1206040048,12,9,1206,120604,0,3,5,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061546,2,1,1948,1989,41,5,3,#NULL!,2,1,2,1,3,8,1,3,2,0905010063,09,3,0905010063,09,3,0905,090501,1,3,4,3,0,1,0,0,0,0,0
0000061548,2,2,#NULL!,1993,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,1206040048,12,9,1206,120604,0,3,5,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000061554,1,2,#NULL!,1993,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,1206040048,12,9,1206,120604,0,3,5,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
