IDPERSON,SEXO,INDINOM,ANONAC,ANOMUE,EDAD,EDADREC,IDNIVEDU,CONDALFA,ESTACIV,RELIGION,IDIOMA,OCUPACI0,ORGANIZA,OCUPACIO,SITUACIO,AGENTE,AGENTERC,UBIGEONA,DEPNAC,DEPNA0,UBIGEO,DEPHEC,DEPHE0,PROVHEC,DISTHEC,AREA,REGION,PERIODO,TESTIMON,CEDAP,CVR,COMISEDH,CNDDHH,CICR,DEFPUEB,DP_ONG
0000000002,2,1,1964,1984,20,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0501010000,05,1,0501,050101,1,1,2,2,0,1,1,1,0,1,0
0000000003,2,1,1960,1983,23,3,4,2,2,1,2,9,#NULL!,9,2,1,1,0903100000,09,3,0501010000,05,1,0501,050101,1,1,2,2,0,1,1,1,0,1,0
0000000006,2,1,1955,1984,29,3,5,2,2,1,2,1,#NULL!,1,1,1,1,0502030029,05,1,0502030029,05,1,0502,050203,0,1,2,2,0,1,0,0,0,1,0
0000000011,2,1,1962,1984,22,3,3,2,2,1,2,1,#NULL!,1,1,1,1,0511040026,05,1,0501110001,05,1,0501,050111,0,1,2,1,0,1,0,0,0,0,0
0000000013,2,1,1950,1984,34,4,5,2,2,1,2,3,#NULL!,3,1,1,1,0501080000,05,1,0501150000,05,1,0501,050115,0,1,2,1,0,1,0,0,0,1,1
0000000015,2,1,1954,1984,30,4,4,2,1,1,2,2,#NULL!,2,2,1,1,0501120001,05,1,0501010001,05,1,0501,050101,1,1,2,1,0,1,1,1,0,1,0
0000000017,2,1,1971,1989,18,2,3,2,2,1,2,2,#NULL!,2,2,3,2,0501020008,05,1,0501020020,05,1,0501,050102,0,1,4,3,0,1,0,0,0,1,0
0000000021,2,1,1948,1983,35,4,5,2,2,1,2,3,#NULL!,3,1,3,2,0501020000,05,1,0511010000,05,1,0511,051101,0,1,2,1,0,1,0,0,0,0,0
0000000023,2,1,1964,1980,16,2,4,2,1,1,1,#NULL!,#NULL!,#NULL!,1,1,1,0501010000,05,1,0501010000,05,1,0501,050101,1,1,1,1,0,1,0,0,0,0,0
0000000025,2,1,1952,1990,38,4,3,2,2,1,2,1,3,8,2,3,2,0501110001,05,1,0501110001,05,1,0501,050111,0,1,4,1,0,1,0,0,0,0,0
0000000026,1,1,1978,1993,15,2,4,2,1,1,2,#NULL!,#NULL!,#NULL!,1,3,2,1501110001,15,10,0501010000,05,1,0501,050101,1,1,5,1,0,1,0,0,0,0,0
0000000027,1,1,1984,1993,9,1,3,#NULL!,1,#NULL!,2,#NULL!,#NULL!,#NULL!,1,3,2,0501110001,05,1,0501010000,05,1,0501,050101,1,1,5,1,0,1,0,0,0,0,0
0000000029,2,1,1954,1989,35,4,3,2,2,1,2,1,#NULL!,1,1,3,2,0501140019,05,1,0501140019,05,1,0501,050114,0,1,4,6,0,1,0,0,0,0,0
0000000031,1,1,#NULL!,1983,#NULL!,#NULL!,1,1,4,1,2,1,#NULL!,1,1,1,1,0505080033,05,1,0505070000,05,1,0505,050507,0,1,2,1,0,1,0,0,0,0,0
0000000032,1,1,#NULL!,1983,#NULL!,#NULL!,1,1,2,1,2,1,#NULL!,1,2,3,2,0505080000,05,1,0505070001,05,1,0505,050507,0,1,2,1,0,1,0,0,0,0,0
0000000034,2,1,#NULL!,1989,#NULL!,#NULL!,1,1,3,1,2,1,#NULL!,1,1,3,2,0505070007,05,1,0505070007,05,1,0505,050507,0,1,4,1,0,1,0,0,0,0,0
0000000036,2,1,1941,1982,41,5,3,2,2,1,2,8,#NULL!,8,2,3,2,0502010045,05,1,0502010045,05,1,0502,050201,0,1,1,2,0,1,0,0,0,0,0
0000000046,2,1,1956,1983,27,3,4,2,2,1,2,5,#NULL!,5,2,3,2,0504010000,05,1,0505030001,05,1,0505,050503,0,1,2,1,0,1,0,0,0,1,1
0000000050,2,1,1961,1981,20,3,3,2,1,2,2,1,#NULL!,1,1,3,2,0505080035,05,1,0505080035,05,1,0505,050508,0,1,1,1,0,1,0,0,0,0,0
0000000056,2,1,1964,1989,25,3,4,2,1,1,2,2,17,2,1,3,2,0506110000,05,1,0506110000,05,1,0506,050611,0,1,4,1,0,1,0,0,0,0,0
0000000057,2,1,1974,1991,17,2,4,2,1,1,2,9,#NULL!,9,1,7,4,0506110000,05,1,0506110000,05,1,0506,050611,0,1,4,1,0,1,0,0,0,0,0
0000000058,1,1,1941,1991,50,6,3,1,4,1,2,2,#NULL!,2,1,3,2,0509060007,05,1,0506110000,05,1,0506,050611,0,1,4,1,0,1,0,0,0,0,0
0000000061,1,1,1964,1990,26,3,1,1,1,1,2,1,#NULL!,1,2,3,2,0505080015,05,1,0505070000,05,1,0505,050507,0,1,4,2,0,1,0,0,0,0,0
0000000071,2,1,1955,1983,28,3,5,2,1,1,2,3,#NULL!,3,1,1,1,0510060000,05,1,0510060000,05,1,0510,051006,0,1,2,1,0,1,0,0,0,1,0
0000000074,2,1,1958,1984,26,3,4,2,2,1,2,2,#NULL!,2,1,3,2,0506010000,05,1,0501040000,05,1,0501,050104,1,1,2,1,0,1,0,0,0,0,0
0000000076,1,1,1960,1984,24,3,4,2,2,1,2,2,#NULL!,2,1,3,2,0501040000,05,1,0501040000,05,1,0501,050104,1,1,2,1,0,1,0,0,0,0,0
0000000078,2,1,1940,1984,44,5,3,2,2,1,2,2,#NULL!,2,1,3,2,0501040000,05,1,0501040000,05,1,0501,050104,1,1,2,1,0,1,0,0,0,0,0
0000000079,2,1,1965,1984,19,2,4,2,1,1,2,#NULL!,#NULL!,#NULL!,2,1,1,0505030035,05,1,0501010000,05,1,0501,050101,1,1,2,1,0,1,1,0,0,1,0
0000000082,1,1,1970,1989,19,2,5,2,1,1,2,11,#NULL!,11,1,1,1,0510110001,05,1,0501010000,05,1,0501,050101,1,1,4,1,0,1,0,0,0,0,0
0000000083,1,1,1945,1984,39,4,3,2,#NULL!,1,2,#NULL!,#NULL!,#NULL!,1,3,2,0501040000,05,1,0501040000,05,1,0501,050104,1,1,2,1,0,1,0,0,0,0,0
0000000085,2,1,1948,1990,42,5,3,2,2,1,2,8,#NULL!,8,1,3,2,0510070005,05,1,0510070003,05,1,0510,051007,0,1,4,1,0,1,0,0,0,0,0
0000000089,1,1,1952,1982,30,4,1,1,2,1,2,4,#NULL!,4,1,3,2,0504060000,05,1,0504060000,05,1,0504,050406,0,1,1,4,0,1,0,0,0,0,0
0000000092,2,1,1960,1982,22,3,4,2,1,1,2,9,#NULL!,9,1,7,4,0501010000,05,1,0501010000,05,1,0501,050101,1,1,1,1,0,1,0,0,0,0,0
0000000093,2,1,1940,1990,50,6,4,2,2,#NULL!,2,2,#NULL!,2,2,3,2,0511000000,05,1,1206080081,12,9,1206,120608,0,3,4,3,0,1,0,0,0,0,0
0000000095,1,1,1940,1990,50,6,3,2,2,#NULL!,2,4,#NULL!,4,2,3,2,0511080009,05,1,1206080081,12,9,1206,120608,0,3,4,3,0,1,0,0,0,0,0
0000000098,2,1,1981,1993,12,2,3,2,1,1,2,#NULL!,#NULL!,#NULL!,1,3,2,0511080009,05,1,1206080081,12,9,1206,120608,0,3,5,3,0,1,0,0,0,0,0
0000000099,2,1,1965,1983,18,2,4,2,1,1,2,#NULL!,#NULL!,#NULL!,1,1,1,0501000000,05,1,0501010000,05,1,0501,050101,1,1,2,1,0,1,0,0,0,0,0
0000000102,2,1,1969,1989,20,3,4,2,1,1,2,5,#NULL!,5,1,1,1,0501010000,05,1,0501010000,05,1,0501,050101,1,1,4,1,0,1,1,0,0,1,0
0000000104,2,3,#NULL!,1991,#NULL!,#NULL!,4,2,#NULL!,#NULL!,#NULL!,3,#NULL!,3,1,3,2,,,#NULL!,0501020020,05,1,0501,050102,0,1,4,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000000108,2,1,1953,1984,31,4,4,2,2,1,1,5,#NULL!,5,1,1,1,0505080001,05,1,0504030001,05,1,0504,050403,0,1,2,1,0,1,0,0,0,0,0
0000000109,2,1,1979,1984,5,1,2,1,#NULL!,1,1,#NULL!,#NULL!,#NULL!,1,1,1,0504030001,05,1,0504030001,05,1,0504,050403,0,1,2,1,0,1,0,0,0,0,0
0000000113,2,1,1969,1985,16,2,4,2,1,1,2,#NULL!,#NULL!,#NULL!,2,1,1,0510010000,05,1,0510010001,05,1,0510,051001,0,1,2,1,0,1,0,0,0,0,0
0000000117,2,2,#NULL!,1983,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,3,2,,,#NULL!,0510010000,05,1,0510,051001,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000000121,2,3,#NULL!,1985,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0510010001,05,1,0510,051001,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000000127,2,1,1940,1985,45,5,5,2,2,1,2,5,#NULL!,5,1,3,2,0511070003,05,1,1206060090,12,9,1206,120606,0,3,2,1,0,1,0,0,0,0,0
0000000128,2,1,#NULL!,1989,#NULL!,#NULL!,1,1,2,#NULL!,2,9,#NULL!,9,1,3,2,0501140019,05,1,0501140019,05,1,0501,050114,0,1,4,3,0,1,0,0,0,0,0
0000000130,2,2,#NULL!,1985,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0501140000,05,1,0501,050114,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000000131,2,1,#NULL!,1989,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0501140019,05,1,0501,050114,0,1,4,7,0,1,0,0,0,0,0
0000000132,2,1,1970,1989,19,2,4,2,2,#NULL!,2,8,#NULL!,8,1,3,2,0501140019,05,1,0501140019,05,1,0501,050114,0,1,4,5,0,1,0,0,0,0,0
0000000136,2,1,#NULL!,1989,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0501140019,05,1,0501,050114,0,1,4,3,0,1,0,0,0,0,0
0000000143,2,1,1959,1984,25,3,5,2,2,1,2,11,17,11,1,1,1,0510020000,05,1,0501010000,05,1,0501,050101,1,1,2,1,0,1,0,0,0,0,0
0000000144,2,1,1974,1985,11,2,3,2,1,1,2,#NULL!,#NULL!,#NULL!,2,3,2,0505030001,05,1,1206060090,12,9,1206,120606,0,3,2,1,0,1,0,0,0,0,0
0000000146,2,1,1924,1989,65,7,1,1,2,1,2,1,#NULL!,1,1,3,2,0501140065,05,1,0501140066,05,1,0501,050114,0,1,4,3,0,1,0,0,0,0,0
0000000147,2,1,1934,1985,51,6,3,#NULL!,2,1,2,1,#NULL!,1,1,10,5,0504030000,05,1,0504030000,05,1,0504,050403,0,1,2,1,0,1,1,0,0,1,0
0000000151,2,1,#NULL!,1985,#NULL!,#NULL!,3,2,2,1,2,1,#NULL!,1,1,3,2,0501140066,05,1,0501140066,05,1,0501,050114,0,1,2,2,0,1,0,0,0,0,0
0000000158,2,1,#NULL!,1985,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0510070000,05,1,0510,051007,0,1,2,1,0,1,0,0,0,0,0
0000000159,2,1,#NULL!,1989,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0501140066,05,1,0501,050114,0,1,4,5,0,1,0,0,0,0,0
0000000162,2,1,1961,1983,22,3,5,2,1,1,2,3,#NULL!,3,2,1,1,0501070012,05,1,0501070001,05,1,0501,050107,0,1,2,1,0,1,1,1,0,1,0
0000000163,2,1,#NULL!,1989,#NULL!,#NULL!,3,2,2,1,2,1,#NULL!,1,1,3,2,,,#NULL!,0501140066,05,1,0501,050114,0,1,4,5,0,1,0,0,0,0,0
0000000164,2,1,1957,1984,27,3,5,2,1,1,2,3,#NULL!,3,1,1,1,1501010000,15,10,0505030007,05,1,0505,050503,0,1,2,1,0,1,0,0,0,0,0
0000000165,2,1,1951,1989,38,4,1,2,2,2,2,1,5,8,1,3,2,0501140066,05,1,0501140066,05,1,0501,050114,0,1,4,6,0,1,0,0,0,0,0
0000000166,2,1,1972,1989,17,2,3,2,#NULL!,1,2,1,#NULL!,1,1,3,2,0501140066,05,1,0501140066,05,1,0501,050114,0,1,4,4,0,1,0,0,0,0,0
0000000167,2,3,#NULL!,1989,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0501140066,05,1,0501,050114,0,1,4,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000000168,2,2,#NULL!,1989,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,2,,,#NULL!,0501140066,05,1,0501,050114,0,1,4,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000000174,2,1,1947,1987,40,5,3,2,2,1,2,1,#NULL!,1,1,3,2,0504070000,05,1,0504070000,05,1,0504,050407,0,1,3,1,0,1,0,0,0,0,0
0000000176,1,2,#NULL!,1985,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0502020042,05,1,0502,050202,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000000178,2,1,1967,1985,18,2,4,2,2,1,2,12,#NULL!,12,2,1,1,0502020042,05,1,0502020042,05,1,0502,050202,0,1,2,3,0,1,1,1,0,1,0
0000000179,1,1,1957,1987,30,4,1,1,2,1,2,4,#NULL!,4,1,3,2,0504070000,05,1,0504070000,05,1,0504,050407,0,1,3,1,0,1,0,0,0,0,0
0000000183,2,1,1978,1985,7,1,3,2,#NULL!,1,2,#NULL!,#NULL!,#NULL!,1,3,2,0511010027,05,1,1206060090,12,9,1206,120606,0,3,2,1,0,1,0,0,0,0,0
0000000186,1,1,1980,1985,5,1,3,#NULL!,#NULL!,1,2,#NULL!,#NULL!,#NULL!,1,3,2,0511010027,05,1,1206060090,12,9,1206,120606,0,3,2,1,0,1,0,0,0,0,0
0000000188,2,1,1956,1984,28,3,#NULL!,#NULL!,2,1,2,12,#NULL!,12,2,1,1,0502020042,05,1,0502020042,05,1,0502,050202,0,1,2,2,0,1,1,0,0,1,0
0000000190,2,1,1949,1984,35,4,4,2,2,2,2,12,3,8,1,1,1,0502020034,05,1,0502020034,05,1,0502,050202,0,1,2,4,0,1,1,1,0,1,0
0000000192,2,1,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0502020042,05,1,0502,050202,0,1,2,1,0,1,1,0,0,1,0
0000000193,1,1,1983,1985,2,1,2,2,#NULL!,1,2,#NULL!,#NULL!,#NULL!,1,3,2,0511030001,05,1,1206060090,12,9,1206,120606,0,3,2,1,0,1,0,0,0,0,0
0000000194,2,1,1963,1984,21,3,4,2,1,1,2,1,3,8,1,1,1,0502020020,05,1,0502020034,05,1,0502,050202,0,1,2,5,0,1,1,1,0,1,0
0000000195,1,1,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0502020042,05,1,0502,050202,0,1,2,2,0,1,1,0,0,1,0
0000000197,2,1,1952,1984,32,4,3,2,2,1,2,1,3,8,2,1,1,0502020042,05,1,0502020042,05,1,0502,050202,0,1,2,2,0,1,0,0,0,1,0
0000000199,2,2,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0502020042,05,1,0502,050202,0,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000000206,2,1,#NULL!,1985,#NULL!,#NULL!,1,1,2,1,2,1,#NULL!,1,1,3,2,0502020000,05,1,0502020000,05,1,0502,050202,0,1,2,1,0,1,0,0,0,0,0
0000000208,2,1,1968,1985,17,2,4,2,1,1,2,1,#NULL!,1,1,3,2,0502020034,05,1,0502020034,05,1,0502,050202,0,1,2,1,0,1,0,0,0,0,0
0000000209,2,1,1959,1985,26,3,3,2,2,2,2,1,3,8,2,1,1,0502020042,05,1,0502020042,05,1,0502,050202,0,1,2,2,0,1,1,1,0,1,0
0000000210,2,1,1972,1992,20,3,3,2,2,1,2,1,#NULL!,1,1,3,2,0502020042,05,1,0502020042,05,1,0502,050202,0,1,4,1,0,1,0,0,0,0,0
0000000212,2,1,1970,1992,22,3,4,2,2,1,2,#NULL!,#NULL!,#NULL!,1,3,2,0502020042,05,1,0502020042,05,1,0502,050202,0,1,4,1,0,1,0,0,0,0,0
0000000214,2,1,1967,1983,16,2,4,2,1,1,1,#NULL!,#NULL!,#NULL!,2,1,1,0501010000,05,1,0501010000,05,1,0501,050101,1,1,2,1,0,1,1,1,0,1,0
0000000216,2,1,1953,1983,30,4,1,#NULL!,2,2,2,1,#NULL!,1,1,3,2,0501140140,05,1,0501140140,05,1,0501,050114,0,1,2,1,0,1,0,0,0,0,0
0000000224,2,1,1947,1983,36,4,3,2,2,2,2,8,#NULL!,8,2,1,1,0502020034,05,1,0502020034,05,1,0502,050202,0,1,2,2,0,1,0,0,0,1,0
0000000225,2,1,1961,1983,22,3,4,2,1,1,2,1,#NULL!,1,2,1,1,0502020034,05,1,0502020034,05,1,0502,050202,0,1,2,2,0,1,0,0,0,0,0
0000000243,2,1,1955,1983,28,3,5,2,2,2,2,9,#NULL!,9,2,1,1,0502020017,05,1,0502020017,05,1,0502,050202,0,1,2,1,0,1,1,0,0,1,0
0000000244,2,1,1955,1984,29,3,3,2,2,1,2,9,#NULL!,9,2,7,4,0306020001,03,2,0502020020,05,1,0502,050202,0,1,2,1,0,1,0,0,0,0,0
0000000245,2,1,1991,1991,0,1,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,10,5,0501090025,05,1,0501090025,05,1,0501,050109,0,1,4,3,0,1,0,0,0,0,0
0000000253,2,1,1943,1983,40,5,4,2,2,2,2,9,3,8,2,1,1,0502020042,05,1,0502020042,05,1,0502,050202,0,1,2,1,0,1,1,0,0,1,0
0000000256,1,1,1962,1983,21,3,1,1,2,1,2,4,#NULL!,4,1,1,1,0505050000,05,1,0511020001,05,1,0511,051102,0,1,2,4,0,1,0,0,0,0,0
0000000257,1,1,1940,1991,51,6,3,1,4,1,2,4,3,8,1,10,5,0501090025,05,1,0501090025,05,1,0501,050109,0,1,4,2,0,1,0,0,0,0,0
0000000258,1,1,1949,1984,35,4,1,1,2,1,2,1,#NULL!,1,1,3,2,0501090000,05,1,0501090000,05,1,0501,050109,0,1,2,2,0,1,0,0,0,0,0
0000000265,2,1,1953,1983,30,4,5,2,1,1,2,1,#NULL!,1,2,1,1,0501010000,05,1,0505030000,05,1,0505,050503,0,1,2,1,0,1,1,1,0,1,0
0000000266,2,1,1911,1991,80,8,1,1,2,1,2,9,#NULL!,9,1,10,5,0501090016,05,1,0501090025,05,1,0501,050109,0,1,4,1,0,1,0,0,0,0,0
0000000271,2,1,1967,1984,17,2,4,2,1,1,2,1,#NULL!,1,1,1,1,0505050000,05,1,0505030000,05,1,0505,050503,0,1,2,1,0,1,0,0,0,0,0
0000000273,2,1,#NULL!,1989,#NULL!,#NULL!,4,2,2,1,2,1,#NULL!,1,2,1,1,0502030001,05,1,0501050000,05,1,0501,050105,0,1,4,1,0,1,1,1,0,1,0
0000000275,2,1,1963,1984,21,3,5,2,1,1,2,1,#NULL!,1,1,1,1,0505050000,05,1,0505030000,05,1,0505,050503,0,1,2,1,0,1,0,0,0,0,0
0000000280,2,1,#NULL!,1989,#NULL!,#NULL!,3,2,3,1,2,1,#NULL!,1,2,1,1,0502030001,05,1,0501050000,05,1,0501,050105,0,1,4,1,0,1,1,1,0,1,0
0000000282,1,1,1950,1983,33,4,1,1,2,1,2,#NULL!,#NULL!,#NULL!,2,1,1,0502010021,05,1,0502010021,05,1,0502,050201,0,1,2,1,0,1,0,0,0,1,1
0000000285,2,1,1968,1983,15,2,3,2,1,1,2,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0505080001,05,1,0505,050508,0,1,2,1,0,1,1,1,0,1,0
0000000288,2,1,#NULL!,1983,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0505080000,05,1,0505,050508,0,1,2,2,0,1,1,1,0,1,0
0000000293,2,1,1964,1983,19,2,4,2,1,1,2,#NULL!,#NULL!,#NULL!,2,1,1,0511080000,05,1,0501100000,05,1,0501,050110,1,1,2,2,0,1,1,1,0,1,0
0000000297,2,1,1964,1984,20,3,4,2,1,1,2,2,#NULL!,2,2,1,1,0504010065,05,1,0504010065,05,1,0504,050401,1,1,2,1,0,1,1,1,0,1,0
0000000303,1,1,1961,1984,23,3,3,2,1,1,2,2,#NULL!,2,1,1,1,0504010065,05,1,0504010065,05,1,0504,050401,1,1,2,1,0,1,0,0,0,0,0
0000000304,1,1,1969,1984,15,2,4,2,1,1,2,#NULL!,#NULL!,#NULL!,1,1,1,0504010065,05,1,0504010065,05,1,0504,050401,1,1,2,1,0,1,0,0,0,0,0
0000000305,2,1,1963,1983,20,3,3,2,2,2,2,12,#NULL!,12,1,3,2,0501140140,05,1,0501140140,05,1,0501,050114,0,1,2,2,0,1,0,0,0,0,0
0000000306,2,1,1964,1983,19,2,5,2,1,1,1,11,#NULL!,11,2,1,1,0501010000,05,1,0501010000,05,1,0501,050101,1,1,2,1,0,1,1,1,0,1,1
0000000308,1,1,1973,1989,16,2,3,2,1,1,2,5,#NULL!,5,1,3,2,0501010000,05,1,0501010000,05,1,0501,050101,1,1,4,1,0,1,0,0,0,0,0
0000000312,2,1,1966,1983,17,2,3,2,1,1,2,#NULL!,#NULL!,#NULL!,2,1,1,0502030004,05,1,0502030001,05,1,0502,050203,0,1,2,1,0,1,1,1,0,1,0
0000000313,2,1,1965,1983,18,2,3,2,1,1,2,#NULL!,#NULL!,#NULL!,2,1,1,0502030001,05,1,0502030001,05,1,0502,050203,0,1,2,1,0,1,1,1,0,1,0
0000000315,2,1,1955,1983,28,3,5,2,2,1,2,9,#NULL!,9,2,1,1,0501060008,05,1,0501010000,05,1,0501,050101,1,1,2,1,0,1,1,1,0,1,0
0000000317,2,1,1965,1984,19,2,1,2,3,1,1,12,#NULL!,12,2,1,1,1501010000,15,10,0501010000,05,1,0501,050101,1,1,2,1,0,1,0,0,0,1,0
0000000319,2,3,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0501100000,05,1,0501,050110,1,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000000322,2,3,#NULL!,1984,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0501100000,05,1,0501,050110,1,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
0000000324,2,1,1963,1985,22,3,4,2,1,1,2,9,#NULL!,9,2,1,1,0510010000,05,1,0501010000,05,1,0501,050101,1,1,2,1,0,1,1,1,0,1,0
0000000325,2,1,1962,1984,22,3,3,2,1,1,2,2,#NULL!,2,2,1,1,0502030001,05,1,0501010000,05,1,0501,050101,1,1,2,2,0,1,1,1,0,1,0
0000000326,2,1,1956,1990,34,4,4,2,2,1,2,9,3,8,2,1,1,0501010024,05,1,0501010024,05,1,0501,050101,1,1,4,1,0,1,1,0,0,1,0
0000000327,2,1,1964,1984,20,3,3,2,1,1,2,2,#NULL!,2,2,1,1,0502030001,05,1,0501010000,05,1,0501,050101,1,1,2,2,0,1,1,1,0,1,0
0000000329,2,1,1967,1983,16,2,4,2,1,1,1,2,#NULL!,2,2,1,1,1501010000,15,10,0501010000,05,1,0501,050101,1,1,2,1,0,1,1,0,0,1,0
0000000334,2,1,1964,1983,19,2,4,2,1,1,2,1,#NULL!,1,2,1,1,0501020029,05,1,0501010000,05,1,0501,050101,1,1,2,1,0,1,1,1,0,1,0
0000000335,2,1,1968,1984,16,2,4,2,1,1,2,9,#NULL!,9,2,1,1,0501140140,05,1,0501010000,05,1,0501,050101,1,1,2,1,0,1,1,1,0,1,1
0000000345,1,1,1959,1983,24,3,4,2,1,1,2,3,#NULL!,3,2,1,1,0906070191,09,3,0501010000,05,1,0501,050101,1,1,2,1,0,1,1,1,0,1,0
0000000346,2,1,1957,1983,26,3,5,2,1,1,2,2,#NULL!,2,2,1,1,0511010026,05,1,0505030000,05,1,0505,050503,0,1,2,2,0,1,1,1,0,1,0
0000000348,2,1,1951,1984,33,4,3,#NULL!,2,1,2,#NULL!,#NULL!,#NULL!,1,1,1,0502020034,05,1,0502020034,05,1,0502,050202,0,1,2,3,0,1,1,1,0,1,0
0000000350,2,1,1940,1984,44,5,4,2,2,1,2,6,#NULL!,6,2,1,1,0502030006,05,1,0501100000,05,1,0501,050110,1,1,2,2,0,1,1,1,0,1,0
0000000351,1,1,#NULL!,1983,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0504060001,05,1,0504,050406,0,1,2,1,0,1,0,0,0,0,0
0000000360,2,1,1947,1984,37,4,4,2,2,1,2,9,13,8,2,1,1,1103010000,11,90,0501010000,05,1,0501,050101,1,1,2,1,0,1,1,1,0,1,0
0000000367,2,1,1964,1983,19,2,4,2,2,1,2,1,#NULL!,1,2,1,1,0501050000,05,1,0501050000,05,1,0501,050105,0,1,2,1,0,1,1,1,0,1,1
0000000370,2,1,1945,1990,45,5,4,2,2,1,2,2,13,8,1,1,1,0511080000,05,1,0501100000,05,1,0501,050110,1,1,4,1,0,1,0,0,0,0,0
0000000371,2,1,1950,1991,41,5,1,1,2,#NULL!,2,9,#NULL!,9,1,10,5,0501090025,05,1,0501090000,05,1,0501,050109,0,1,4,2,0,1,0,0,0,0,0
0000000373,1,1,1956,1986,30,4,5,2,2,1,2,3,#NULL!,3,2,1,1,0511010001,05,1,0511010000,05,1,0511,051101,0,1,3,2,0,1,1,0,0,1,0
0000000376,1,1,1911,1991,80,8,1,1,2,1,2,4,3,8,1,10,5,0505080000,05,1,0501090025,05,1,0501,050109,0,1,4,3,0,1,0,0,0,0,0
0000000377,1,1,1967,1985,18,2,3,2,2,1,2,4,#NULL!,4,2,1,1,1501140000,15,10,0501050030,05,1,0501,050105,0,1,2,1,0,1,0,1,0,1,0
0000000378,1,1,1941,1991,50,6,3,1,1,1,2,4,#NULL!,4,1,10,5,0501090016,05,1,0501090025,05,1,0501,050109,0,1,4,3,0,1,0,0,0,0,0
0000000381,1,1,1964,1991,27,3,1,1,2,1,2,4,#NULL!,4,1,10,5,0501090025,05,1,0501090025,05,1,0501,050109,0,1,4,2,0,1,0,0,0,0,0
